id;campaign_name;discount_rate
8f2a636d-4270-4634-8bc8-da0ad2c578ee;MANTAPGAS;0.003
041a89ea-893e-4f03-bc7f-3abb7d495d96;OKEGAS;0.021
7c509233-d202-41c6-8e04-dd7280ab10aa;PROMOGAS;0.054
8995e0d5-19b9-4ef5-a355-b718b94da4a9;SKUYLAHBELANJA;0.094
600efa60-b0a8-4344-8728-44babae7e71f;BELANJASIK;0.068
4996af7c-2ee1-4903-86e7-799b723ad3c0;PROMOASIK;0.073
2bb063fe-ca69-4261-a222-29a8f0f902af;AWALBULANCERIA;0.051
b2e78784-16c4-4903-8a05-7ea2394f5af1;HOREDISKON;0.012
69306659-f390-44f1-96b1-07871b0c47c5;ASIKMANIS;0.012
c84e1aad-9884-49af-a59f-b75596bb14ba;GRATISTISTIS;0.037
1239a5f4-7077-4b9c-a20c-66fdf48b4f94;DISKONUHUY;0.025
08fd6a20-23ab-48e6-b93d-961828e54152;GREATDISCOUNT;0.039
7933133c-eb59-4cec-a787-93606ee86916;PROMOYE;0.011
2e883a83-0480-46c1-9fcb-e6cc01faf213;MANTAPGAS;0.076
e2152aa4-4c43-4c96-9c45-6b92a94737ba;OKEGAS;0.096
7faf0636-e8ff-496d-a563-593df36917fd;PROMOGAS;0.033
0849c088-7cf5-4c56-b322-04c7cc59187c;SKUYLAHBELANJA;0.061
7944d8dd-0b89-45f0-8d10-b2c737906c61;BELANJASIK;0.058
1f30427d-fd7f-4186-a828-a8f1e71f0d34;PROMOASIK;0.048
970dcb43-4fde-45dd-b79e-40a55e6708e0;AWALBULANCERIA;0.014
3d089216-2a85-4849-a007-9e7990036693;HOREDISKON;0.002
200a4104-a36b-43c5-affe-6c1bdf30c082;ASIKMANIS;0.004
68434b1d-5cb8-40c5-a8da-f2f3e1b57be3;GRATISTISTIS;0.089
22a1285a-5c47-4d26-bdb6-8ece0f8f2878;DISKONUHUY;0.067
56324d30-2ee4-46e2-baab-c2207c6de48a;GREATDISCOUNT;0.006
54e0a7e5-042c-40b4-9126-f873b2ce8e6b;PROMOYE;0.044
7a305491-90c3-455f-bede-11e165ffd044;MANTAPGAS;0.09
c908c33f-43c6-48d7-a13c-b069b21f8d79;OKEGAS;0.085
963945f8-2384-4fe8-8eec-d748492ec9c9;PROMOGAS;0.1
ca2afe13-57d7-4112-8a1e-0bad5b3c26d7;SKUYLAHBELANJA;0.012
3ad8f971-862b-4964-bc29-18cce1b61b3b;BELANJASIK;0.036
2d367c13-ea95-41ba-bd96-a7bd8912d95a;PROMOASIK;0.1
6acf51da-bd37-4bce-8b24-4acbf4c010db;AWALBULANCERIA;0.028
9e0f8b3f-a5d8-478e-878d-3dcc5a826cd1;HOREDISKON;0.047
26710e92-af6a-4b23-a58c-ee7621ba4cbf;ASIKMANIS;0.033
2b96bbff-ebe7-4605-9853-5489b94b38a6;GRATISTISTIS;0.002
308e1c0c-a80a-4576-8f32-6736c211286d;DISKONUHUY;0.073
1037a989-aa4b-450c-97b9-328aa78abb53;GREATDISCOUNT;0.031
e259d4f8-0b56-4d21-b4c3-212609726fd0;PROMOYE;0.05
5a47c8c4-5abf-4c9e-bfbe-e48490c6e4a4;MANTAPGAS;0.093
6f5ab051-370e-48a5-b0b0-5525ae83ad73;OKEGAS;0.018
c59f8214-c261-425c-ae02-f2fb1fae2d81;PROMOGAS;0.075
4cefa498-423b-4454-a357-be6529ca08e8;SKUYLAHBELANJA;0.057
0a1faba3-5461-40f1-96b2-047e121005a3;BELANJASIK;0.024
5479a69b-bacc-4f54-b6b6-6ccfca1a6d18;PROMOASIK;0.032
f4f488f8-3920-41c2-a4c9-ffd233d10d05;AWALBULANCERIA;0.059
ee387314-ef03-41b7-99c2-e46890a290b9;HOREDISKON;0.02
21b4c179-c7f5-4949-b052-662532105c08;ASIKMANIS;0.074
6198016e-7d80-4e96-97ae-f44718875cbe;GRATISTISTIS;0.084
96ad6d04-4c77-4305-9e7f-5e55b0b50150;DISKONUHUY;0.066
44b285dc-1b8f-43a3-bdeb-c84939398a0f;GREATDISCOUNT;0.001
0082c580-9713-4454-982c-f7ecb37f8e0e;PROMOYE;0.043
b67b87f7-dde2-4a88-bc19-876a322fc8b9;MANTAPGAS;0.079
26bdd935-f498-48f6-8255-688b33742972;OKEGAS;0.018
26f913d3-cac3-4915-9029-9c1146e49f69;PROMOGAS;0.069
845c8305-e8ca-4e1b-b7e6-669bf0094df6;SKUYLAHBELANJA;0.077
2575915e-a897-49bc-9399-77e00fca0e05;BELANJASIK;0.1
ca710f8a-832c-45a5-ac41-e0435287e8b4;PROMOASIK;0.036
29a4099f-bb72-43b8-950b-d9d1f1dd6cff;AWALBULANCERIA;0.094
9c99d4a0-74a7-47c6-9de5-0011fcc4d1a3;HOREDISKON;0.069
b2623022-d3de-40dd-ba4a-c79236209d7a;ASIKMANIS;0.023
a3f2faa5-11a3-4690-bd18-0a14bb2fab4a;GRATISTISTIS;0.048
2d6f99e3-5e1c-4528-af00-8aea8fcd2434;DISKONUHUY;0.082
04925628-55fd-4c0e-93fd-2b069c877080;GREATDISCOUNT;0.001
c22cca78-f57b-4ba2-a98c-6da4beb25aff;PROMOYE;0.054
cc15af82-f380-4602-bf04-2b4d822f9230;MANTAPGAS;0.052
daf728b0-2ce2-4648-9738-8b496ed44942;OKEGAS;0.095
7378c716-7a97-4364-a570-359f0ae17581;PROMOGAS;0.039
c2a0f8e0-c83c-4ac4-9dee-28ae0ce4c51f;SKUYLAHBELANJA;0.022
4de0dfb1-67a8-479a-a923-703b98d0e5a1;BELANJASIK;0.023
9c4ce612-f6f8-4681-b813-877f5bcb5980;PROMOASIK;0.087
39c23f57-50ec-430c-b07e-31a516e46a84;AWALBULANCERIA;0.066
55b328f3-6253-435d-aba2-1988fdc7c961;HOREDISKON;0.007
dd474f41-4898-4e0e-aa7e-ca2fc989eab1;ASIKMANIS;0.002
bac6d1f2-4b90-4aec-ad25-6bd08f6acf36;GRATISTISTIS;0.062
d6cfc28e-942b-4da4-9768-ba41510c1c0a;DISKONUHUY;0.038
534de9b7-14a6-492b-90f9-7cb7967ab131;GREATDISCOUNT;0.052
a78b49df-5106-40aa-ba08-24724241b6c1;PROMOYE;0.065
ed04f73d-37e7-49f9-82bf-c33fffb6ae09;MANTAPGAS;0.029
9675736b-d2a1-4187-8fe2-89efcede80c4;OKEGAS;0.1
7f53d00a-e543-49a3-b66c-c74f88e755c8;PROMOGAS;0.002
f99fac9e-49d6-4e2c-bf2e-3f0b61c05403;SKUYLAHBELANJA;0.057
5efc4413-9be6-4f13-a0ca-230643504682;BELANJASIK;0.063
2e8aff60-da3c-467d-95d8-b7b73561a733;PROMOASIK;0.015
110ae784-de9c-4bab-b3a9-8ee2cf864597;AWALBULANCERIA;0.037
1246674c-01ac-489f-97fe-92ddb94c14b2;HOREDISKON;0.078
72bc04f8-c676-4350-99fa-3f55cc883292;ASIKMANIS;0.044
941f03e0-24cf-4993-a7c9-4d51e9dd6462;GRATISTISTIS;0.044
becb8e20-3b74-41da-b221-0e9eb073177d;DISKONUHUY;0.036
2adf9734-cfdc-4ba8-ae62-edb5cf01493b;GREATDISCOUNT;0.078
e9f58e8b-6370-42ee-9e46-840d4f3db04c;PROMOYE;0.048
2145b370-9f93-4bfd-9727-bd94e0d459b4;MANTAPGAS;0.092
35abdf63-ce9c-4850-86af-cc101506ec8b;OKEGAS;0.033
1c012fee-88eb-49e7-b2a4-05c9920bf2ef;PROMOGAS;0.074
213402bd-f874-47d8-b16d-7c9a1577bdba;SKUYLAHBELANJA;0.035
d086b539-7efc-48b7-a51b-c1c677eaad6b;BELANJASIK;0.01
fc3380cd-1687-4e4a-8c0e-cebbc61aa2bf;PROMOASIK;0.048
e4b54331-a7f0-4ba4-97ae-4b798c700880;AWALBULANCERIA;0.085
5df2e841-7455-47b0-a834-96b042b90693;HOREDISKON;0.059
b7b49a10-d45a-4622-876e-30bdf8bc98b2;ASIKMANIS;0.079
9a5252e3-83fa-4689-843f-341ff3d406f2;GRATISTISTIS;0.034
27ef9a71-4127-4e4c-aca3-fbeb685b2849;DISKONUHUY;0.052
8d276828-014c-4b5c-817d-c50c6da510d9;GREATDISCOUNT;0.091
2b931ebb-b44d-4ef8-8259-9b1eee3e2d43;PROMOYE;0.051
6259eb55-7982-4ea1-9cc8-2916350af61c;MANTAPGAS;0.013
f34c2c38-35b6-4259-b6fe-fd25898e01b8;OKEGAS;0.022
2cde2d22-761a-49a7-b382-3b09ecac4fef;PROMOGAS;0.09
fac7c9f6-a28e-4958-8fc2-95cbca0a28db;SKUYLAHBELANJA;0.015
4842d544-eac0-47ea-be60-66b414324417;BELANJASIK;0.033
97793468-d95d-4960-b4bc-87e5e4b4f73b;PROMOASIK;0.033
379da3e6-08c6-4d4f-a6a1-3d496d91b2ac;AWALBULANCERIA;0.027
e4fc2ef2-3df6-45bb-add0-5e95f266b25a;HOREDISKON;0.005
c2f25e5c-5727-47fa-b924-6535b5958d52;ASIKMANIS;0.043
aec7d09c-7461-46d8-8d6e-0d3c805e0c55;GRATISTISTIS;0.041
080536cc-163b-4c8f-8919-ae1ad5f6b812;DISKONUHUY;0.007
af1ef657-0454-439c-a1df-04a5197dd85f;GREATDISCOUNT;0.01
ea575d9e-d014-4fd8-ae64-6f3df50c1cba;PROMOYE;0.065
a933ff05-4a55-458e-a5f8-2b7243fb531b;MANTAPGAS;0.07
2ef75099-5edd-4189-95a5-f84bedaf0554;OKEGAS;0.097
2f02e6c0-90fd-491d-966f-ca9abe1e9aa4;PROMOGAS;0.047
2e533c21-086f-45f7-b4aa-15cb527879b8;SKUYLAHBELANJA;0.066
f23d221f-0488-4389-a0e5-dac573f3f17c;BELANJASIK;0.002
25a29ff4-2cd2-49fc-82f0-b37f959eae7e;PROMOASIK;0.033
62682857-1e28-40c2-a7f5-c8abea108fd7;AWALBULANCERIA;0.033
f728b73f-99c4-42f8-941c-53f225b0ba24;HOREDISKON;0.056
e274b246-e0f6-4494-914f-cd0009d78a5b;ASIKMANIS;0.066
06311e82-78ae-4d45-99e6-648b9e2a5331;GRATISTISTIS;0.009
9b979537-2629-4aea-b499-45db5caa049d;DISKONUHUY;0.012
aa12e8bc-7778-4d94-a1bf-ac6dfd5003d4;GREATDISCOUNT;0.063
c220d959-d765-43b0-b5ae-7026feb81741;PROMOYE;0.034
30755429-d5c5-43ba-a791-8846b4457c0d;MANTAPGAS;0.052
d15f7965-03d8-4178-9181-a3357b733ffd;OKEGAS;0.008
c309cdc6-fc76-4044-ae8e-0ea2c3e81e60;PROMOGAS;0.067
0ae724f3-6f14-4222-916e-40ba12937fb4;SKUYLAHBELANJA;0.073
b87609b8-950b-47c7-8f98-97715257bbed;BELANJASIK;0.074
b6f49875-00fc-4a86-bb24-2578d16be7c5;PROMOASIK;0.028
c8deb9c3-e743-44a2-a2c8-104f9153a907;AWALBULANCERIA;0.022
702fe46d-887e-411f-bbeb-81ac8039f939;HOREDISKON;0.07
8b6d0118-2aca-4984-b0f7-cc3ae98676e1;ASIKMANIS;0.072
c9c10663-ab10-46b8-9bdf-70c3e4eaaa58;GRATISTISTIS;0.037
22f5da65-bfb9-4086-9b27-7c21a6ed9f50;DISKONUHUY;0.024
2045aba3-3bd9-46d7-be56-6bc616e5bb3d;GREATDISCOUNT;0.074
fe99c03a-2835-44ef-b669-0eaabf87a942;PROMOYE;0.068
61c71e2a-4102-4f65-ae8a-fdd84faa9884;MANTAPGAS;0.032
8034cac7-132e-441f-a0e4-973ecf2c0b9d;OKEGAS;0.017
5f45d70a-b0dd-41e9-a0ef-42061e9d5fed;PROMOGAS;0.066
da9a116d-f671-4d71-97d6-282f469e08cd;SKUYLAHBELANJA;0.096
36f8ac9d-9caf-4b7c-a61b-d924efcab374;BELANJASIK;0.034
aa86c925-fc1e-4d95-988d-e7f6c5af4bce;PROMOASIK;0.064
0d4bc9f4-f086-418f-87a6-4d8637bcb98d;AWALBULANCERIA;0.012
1fae1f0e-7d5d-431a-93e6-e76b4ec21c07;HOREDISKON;0.038
c498cf77-15cc-413e-8398-c923f9b8cad3;ASIKMANIS;0.015
695aac0f-3fda-437f-8785-5303d1f9101d;GRATISTISTIS;0.072
20a37f09-8c33-41ba-a007-9aea6e5d8712;DISKONUHUY;0.06
345aa24d-92ff-4895-b03b-1556aa54f4f4;GREATDISCOUNT;0.055
ea767c54-11bd-4633-85d1-cf3b37aa098f;PROMOYE;0.071
079a378e-3876-4ee1-9be0-770016029437;MANTAPGAS;0.059
8f012f1f-aaba-4706-8c15-99cc1c076939;OKEGAS;0.062
b31f02e8-9c54-4456-8e9c-d76d597ee211;PROMOGAS;0.072
ef8619e1-8eb3-4b92-8d67-da97f1bbbb4e;SKUYLAHBELANJA;0.077
e6412b75-bcdb-45fe-b679-5f547cc1332a;BELANJASIK;0.085
c69038e5-57b3-41d8-9196-ad6e426d8520;PROMOASIK;0.061
ea2c7f8a-758d-42c6-9c0a-20d2133c83d2;AWALBULANCERIA;0.06
dad9bcf8-ace5-4802-958b-0b345d357cf8;HOREDISKON;0.062
d4f57738-0b1f-43e1-89ac-bcc7a69348e8;ASIKMANIS;0.043
c75f8759-f75a-4e63-9d5d-653b1e3c1474;GRATISTISTIS;0.06
fae74f98-3a28-4af2-b761-2bc7b7ba4256;DISKONUHUY;0.09
5fc9730f-0918-494b-9896-26a92d8571fd;GREATDISCOUNT;0.029
32ca203a-cd3a-4d6c-9b24-fd8e6e213b76;PROMOYE;0.046
01ffe354-7fb2-42ea-bdf3-30d4074b6cac;MANTAPGAS;0.097
d39c982f-6ff1-4dde-8040-e3cab2239496;OKEGAS;0.05
dd35bfde-d2d8-4670-87b6-01a2a9beb3a9;PROMOGAS;0.027
a838487c-3363-40e5-af50-9a9e774f23ae;SKUYLAHBELANJA;0.083
83ace934-9d32-4a11-8f78-b1042a65f2a1;BELANJASIK;0.007
9ab32ab1-fdc1-405c-a9dc-6185d220c518;PROMOASIK;0.007
4043cbf9-b887-4602-bbce-106d372207a6;AWALBULANCERIA;0.019
f9c2c91d-a432-498b-ad4c-5168c8e045b3;HOREDISKON;0.062
7941708a-7953-42a3-a15d-4b8d289eee86;ASIKMANIS;0.004
1432316e-75c4-4566-a008-dd0c49cf76d7;GRATISTISTIS;0.02
4c6e26b9-b1bd-4f1b-be67-cb85206b5fbb;DISKONUHUY;0.077
7fe4b55f-6efa-42e1-b1b3-13f2cdc08151;GREATDISCOUNT;0.067
77454157-f1ed-4375-aaa3-920294e800a4;PROMOYE;0.082
7326a943-e16e-43eb-bc71-d7db3f58107e;MANTAPGAS;0.023
34a32d4a-ae91-43a1-956a-1fb4aa437c48;OKEGAS;0.082
e91e32bf-255c-42bf-b3e2-7cbb915fde12;PROMOGAS;0.044
dfb6e8d5-96bf-4c60-acbe-725d6fa8bb4d;SKUYLAHBELANJA;0.083
1c817513-9e41-4e6d-8133-ba273cce4297;BELANJASIK;0.085
7725a9c6-e636-41e6-b391-5aef2a88b9b8;PROMOASIK;0.034
b4924547-ef5d-48b9-abde-8f795bf3e2c2;AWALBULANCERIA;0.059
a4ee719e-3893-4d22-8ee0-776a1e6b73bc;HOREDISKON;0.095
678db969-fa00-4104-a0ff-aa356bab76ed;ASIKMANIS;0.031
98bbb4c8-1dd5-40e9-b945-0a7f8c1a4b58;GRATISTISTIS;0.069
dc578dde-965c-430b-9bb6-91f82d463d1a;DISKONUHUY;0.079
b39cf402-599a-46d2-8956-0d2b2cb483e8;GREATDISCOUNT;0.054
f13154dc-3a54-4011-a00f-88ff6018b8f8;PROMOYE;0.094
f3119fa1-7f8b-4289-a022-1e4f0cdfb97f;MANTAPGAS;0.018
12ce9280-d8c4-4f98-9597-8b78295a76d5;OKEGAS;0.099
8a2ffb17-9f0b-49ba-b5ca-beb73e3c1cef;PROMOGAS;0.07
1d51b9ef-cc7d-44f7-bdb2-3206dc0b5e81;SKUYLAHBELANJA;0.094
cdec659f-a2bd-4cd5-a250-0543bb3d5059;BELANJASIK;0.062
0e672592-682c-4f2a-8994-adabe2b713bd;PROMOASIK;0.062
e9675ba7-70ad-43c2-b076-e19c8bddd00a;AWALBULANCERIA;0.078
41cb8a73-6ba0-4015-b413-4fb7b7ad4150;HOREDISKON;0.09
768613a5-63eb-4936-bfb5-18451752167e;ASIKMANIS;0.054
978d1436-b332-4eb3-b294-8f8d5477d735;GRATISTISTIS;0.015
25c4334d-e701-4850-bb4d-04766ddca7b3;DISKONUHUY;0.038
60d24f09-3fc5-4c9d-a645-434ce84fd100;GREATDISCOUNT;0.024
655acd9c-dade-481f-a582-690412d3cb79;PROMOYE;0.093
92d15c38-9405-405e-bda0-7a9fe0f9252d;MANTAPGAS;0.004
43f301f2-a3a9-4568-8865-ae080341f84d;OKEGAS;0.042
06906ecf-4d92-4b85-92c7-00af06e4cf9b;PROMOGAS;0.005
3326f351-1576-4593-9998-ac2f24945e15;SKUYLAHBELANJA;0.091
3ad85a29-28e2-43a3-b668-6753852e018a;BELANJASIK;0.052
4b33623f-b5df-4402-8de2-6ed0a1492e98;PROMOASIK;0.007
191017c3-4d9b-4be1-8282-daa7ec94f836;AWALBULANCERIA;0.078
ea8cfc11-d2fe-4479-be04-2f6ec53cd563;HOREDISKON;0.072
3b69379d-24b9-43fa-8cda-433dec4df7df;ASIKMANIS;0.06
3c9481ef-8945-42f2-b517-10517ad7ac82;GRATISTISTIS;0.018
c52e5099-2b6a-43cb-a4fe-c4a0ff1aee40;DISKONUHUY;0.089
8e1c34ac-8da2-4b28-bffa-51833c22955e;GREATDISCOUNT;0.08
2396e828-b02b-4f95-a76b-0ddca72045e3;PROMOYE;0.086
6493fece-0546-49ad-a1f8-b384b30c9a43;MANTAPGAS;0.014
9b2c00f7-30b9-4dc4-b740-480a969d3e17;OKEGAS;0.095
61b67d96-825f-4577-a044-b20b8459d34c;PROMOGAS;0.007
079e357d-0d04-49fe-b0fc-c53ec47b4d38;SKUYLAHBELANJA;0.051
687b670d-2e23-475f-afdc-4b0b97ae78b7;BELANJASIK;0.05
243e110a-ddfc-4c37-af99-29a0909ddf47;PROMOASIK;0.057
a7627c5c-4434-4d7c-a323-408d5bcc5ed1;AWALBULANCERIA;0.043
a70bd95b-4471-4a31-a7f6-e6205e3dee7d;HOREDISKON;0.011
3aa43ab3-e3c6-4a52-9065-54edf1e10788;ASIKMANIS;0.098
42e41b67-5c6f-4b34-85ff-450dea89c079;GRATISTISTIS;0.077
eb98d899-03e4-4b1b-af9f-1380369e29d6;DISKONUHUY;0.075
6cc5bb6c-2238-4c10-8d9f-870a4577d93e;GREATDISCOUNT;0.028
b71d4483-0b47-47b9-aba4-1e9ff6659f16;PROMOYE;0.038
c4509fcd-c919-45b8-a28e-0a3121301e89;MANTAPGAS;0.048
3d91f1ba-7014-4c31-9c57-7ff9ca9201f8;OKEGAS;0.023
4bf95464-8fd8-4e55-a1e7-da865eed4479;PROMOGAS;0.042
1e598802-1c8d-4e34-b5be-2f37cd0232be;SKUYLAHBELANJA;0.094
5f34c812-955e-4c2e-866b-e970e71a1b43;BELANJASIK;0.083
25c3eda6-289d-490b-9392-20eeab7d3437;PROMOASIK;0.002
11eef28d-3ed7-4b36-9385-ed4399db99aa;AWALBULANCERIA;0.013
60bb4564-411d-422f-be68-19cb3460fb4d;HOREDISKON;0.086
55da8547-e91b-4691-8775-cf0b0cd14592;ASIKMANIS;0.047
9c96e725-e8e9-4680-8146-6d2d775146b7;GRATISTISTIS;0.031
74f57a7f-2089-496e-b334-f00ab7d44485;DISKONUHUY;0.053
68eea93d-66bd-4596-844c-72413bc1bb0c;GREATDISCOUNT;0.007
d2eadc01-4765-46de-b8ca-d331b7697ab4;PROMOYE;0.085
b2041906-f7a4-4428-93b2-48e6ef2a7157;MANTAPGAS;0.073
f3087609-2aca-4224-82bf-829037e807ac;OKEGAS;0.029
a3ef3c1c-3af1-4151-8198-f3b0b872e0bd;PROMOGAS;0.087
a84d7459-81dc-4832-b7a9-c359c2f73d6c;SKUYLAHBELANJA;0.046
cecf6fbc-1987-47db-9db1-300f3859e03f;BELANJASIK;0.052
b79a8c30-6a6a-4db6-b1c4-6fab6a022aaa;PROMOASIK;0.01
14113779-f5bf-4ffa-b30e-d068f1d82ed2;AWALBULANCERIA;0.04
255bd8db-8f2d-4d19-860e-82932c3c2475;HOREDISKON;0.076
3d023c1f-6abf-447b-9532-55f46bd41eae;ASIKMANIS;0.056
cd729d77-dd44-4656-a6fe-df2e91346cba;GRATISTISTIS;0.093
352715e9-0c55-4bda-bdf1-14fff560be6a;DISKONUHUY;0.08
7408b918-fdb9-4292-954d-440ca5d0e6de;GREATDISCOUNT;0.047
bd8b2674-800e-4e01-b0dc-db8b500db853;PROMOYE;0.083
cef9b6a2-3759-41c0-bff1-5f1cba98e454;MANTAPGAS;0.031
f2e41309-bfa2-44ed-83e9-dc61b100692d;OKEGAS;0.024
7f685ae2-977e-4afe-84c9-cb82ba62d266;PROMOGAS;0.032
7c401b10-c0e7-4092-a106-ed042abed64d;SKUYLAHBELANJA;0.043
c095b2cc-4f15-4231-917c-0c8081defbdf;BELANJASIK;0.06
b12ca932-cb32-4a13-bd60-9fe83d80bddd;PROMOASIK;0.014
0a6d0a0c-9d07-42d6-9cf3-a26b6aa5bdf5;AWALBULANCERIA;0.04
9f4c7b17-fc64-4325-94fa-12e8ee1fe025;HOREDISKON;0.007
c83be6ce-4358-4b1e-82db-46715185a421;ASIKMANIS;0.091
a898b86b-923f-425b-bf5a-362361f5acc6;GRATISTISTIS;0.051
e77216d5-38b5-4bdf-99c7-090d3b01796a;DISKONUHUY;0.013
4d5fe42e-be30-4d1c-9a6b-91c7a56bac88;GREATDISCOUNT;0.085
7196caa9-9c85-40c8-b465-b2b05fc2cfc1;PROMOYE;0.014
c51e9ea2-486c-4030-81f0-b3e62ac91d91;MANTAPGAS;0.05
035f83f6-dfdb-4757-8845-0cfc967a3765;OKEGAS;0.038
41b0e661-10d2-4b67-be48-f2dfc8f99634;PROMOGAS;0.084
160584e1-fd14-4daa-8f22-98e6351d40dd;SKUYLAHBELANJA;0.055
9a153366-8176-4b71-b761-17cf4f1edc48;BELANJASIK;0.077
2a18288f-1c99-48f0-b007-8a071dc76498;PROMOASIK;0.023
01f07180-d0e1-41e9-8fcd-17e964ab239b;AWALBULANCERIA;0.076
f48f42f6-35a5-49e7-aeb6-f42fedf019e2;HOREDISKON;0.004
0910cb66-cc4f-467b-8b3d-fbcbf179ddcc;ASIKMANIS;0.029
ca32c29a-07f7-4ae9-9796-0c5899ea7215;GRATISTISTIS;0.003
94c59de8-0b62-4a15-90d9-3cfd22853546;DISKONUHUY;0.052
563cbfe6-bdc4-4936-8544-e17e024dc39c;GREATDISCOUNT;0.02
b499b401-bd1b-4fa1-99f4-92d0a2fa0770;PROMOYE;0.048
37ee7003-0039-469a-a997-d5db0cf4fe64;MANTAPGAS;0.067
b8851da6-eb01-48b6-809b-6e972f757c8f;OKEGAS;0.074
d3914f98-f024-4b05-89a1-c2de5fc5a447;PROMOGAS;0.053
0c7d7d9a-480d-4c4e-bfbc-6de2f297622e;SKUYLAHBELANJA;0.02
6c3e191a-21a4-4a9c-b92a-69952fea2e38;BELANJASIK;0.061
5557c9a0-3df7-472c-a0a8-66efc9df958a;PROMOASIK;0.063
078b8495-760f-4461-9375-256413ba8941;AWALBULANCERIA;0.083
584df9cf-66dc-45b2-aea0-f50352691e8c;HOREDISKON;0.059
2c025a33-dc91-4ac1-8954-f9a73d2c34ca;ASIKMANIS;0.079
9c8562fa-5b5f-4c0b-b804-fd069ae09031;GRATISTISTIS;0.074
c00079ef-6241-40e9-8cc8-8bb40b6ca423;DISKONUHUY;0.009
6c2d125b-c6a6-4683-9047-41793784daa2;GREATDISCOUNT;0.027
93c53c87-7260-4e69-9880-44b784d53deb;PROMOYE;0.085
11697db2-8fd7-442c-b8a5-cd0c08e02e3d;MANTAPGAS;0.093
13a3581b-02c6-4187-b7ac-f4f1eab40de6;OKEGAS;0.01
2b56f080-9d67-4c4a-baf0-c036b0d307e0;PROMOGAS;0.017
