transaction_id;material_cost;insurance_cost
8f012f1f-aaba-4706-8c15-99cc1c076939;43553;14691
b31f02e8-9c54-4456-8e9c-d76d597ee211;43611;22693
ef8619e1-8eb3-4b92-8d67-da97f1bbbb4e;63613;29837
e6412b75-bcdb-45fe-b679-5f547cc1332a;52458;19883
c69038e5-57b3-41d8-9196-ad6e426d8520;68054;25303
ea2c7f8a-758d-42c6-9c0a-20d2133c83d2;49748;21405
dad9bcf8-ace5-4802-958b-0b345d357cf8;45831;14641
d4f57738-0b1f-43e1-89ac-bcc7a69348e8;45376;28097
c75f8759-f75a-4e63-9d5d-653b1e3c1474;69376;15953
fae74f98-3a28-4af2-b761-2bc7b7ba4256;61547;17333
5fc9730f-0918-494b-9896-26a92d8571fd;68273;28816
32ca203a-cd3a-4d6c-9b24-fd8e6e213b76;57600;16399
01ffe354-7fb2-42ea-bdf3-30d4074b6cac;35547;28707
d39c982f-6ff1-4dde-8040-e3cab2239496;32066;23436
dd35bfde-d2d8-4670-87b6-01a2a9beb3a9;69044;19725
a838487c-3363-40e5-af50-9a9e774f23ae;59076;18488
83ace934-9d32-4a11-8f78-b1042a65f2a1;35396;18012
9ab32ab1-fdc1-405c-a9dc-6185d220c518;51209;20787
4043cbf9-b887-4602-bbce-106d372207a6;61412;27246
f9c2c91d-a432-498b-ad4c-5168c8e045b3;42608;27033
7941708a-7953-42a3-a15d-4b8d289eee86;59877;11817
1432316e-75c4-4566-a008-dd0c49cf76d7;36474;20304
4c6e26b9-b1bd-4f1b-be67-cb85206b5fbb;68085;29415
7fe4b55f-6efa-42e1-b1b3-13f2cdc08151;50574;26152
77454157-f1ed-4375-aaa3-920294e800a4;34226;20368
7326a943-e16e-43eb-bc71-d7db3f58107e;49154;21564
34a32d4a-ae91-43a1-956a-1fb4aa437c48;68567;27089
e91e32bf-255c-42bf-b3e2-7cbb915fde12;30555;16164
dfb6e8d5-96bf-4c60-acbe-725d6fa8bb4d;67882;13970
1c817513-9e41-4e6d-8133-ba273cce4297;40164;11582
7725a9c6-e636-41e6-b391-5aef2a88b9b8;50256;11618
b4924547-ef5d-48b9-abde-8f795bf3e2c2;60317;21107
a4ee719e-3893-4d22-8ee0-776a1e6b73bc;65477;24739
678db969-fa00-4104-a0ff-aa356bab76ed;56790;29682
98bbb4c8-1dd5-40e9-b945-0a7f8c1a4b58;51141;12838
dc578dde-965c-430b-9bb6-91f82d463d1a;40387;13661
b39cf402-599a-46d2-8956-0d2b2cb483e8;69049;10545
f13154dc-3a54-4011-a00f-88ff6018b8f8;66587;22235
f3119fa1-7f8b-4289-a022-1e4f0cdfb97f;32687;15342
12ce9280-d8c4-4f98-9597-8b78295a76d5;31545;13087
8a2ffb17-9f0b-49ba-b5ca-beb73e3c1cef;55288;13268
1d51b9ef-cc7d-44f7-bdb2-3206dc0b5e81;56302;29331
cdec659f-a2bd-4cd5-a250-0543bb3d5059;63092;16474
0e672592-682c-4f2a-8994-adabe2b713bd;64967;24871
e9675ba7-70ad-43c2-b076-e19c8bddd00a;44396;16168
41cb8a73-6ba0-4015-b413-4fb7b7ad4150;40102;29809
768613a5-63eb-4936-bfb5-18451752167e;33216;28088
978d1436-b332-4eb3-b294-8f8d5477d735;30936;27958
25c4334d-e701-4850-bb4d-04766ddca7b3;33586;29154
60d24f09-3fc5-4c9d-a645-434ce84fd100;58966;17797
655acd9c-dade-481f-a582-690412d3cb79;53996;26926
92d15c38-9405-405e-bda0-7a9fe0f9252d;56057;28148
43f301f2-a3a9-4568-8865-ae080341f84d;41063;12556
06906ecf-4d92-4b85-92c7-00af06e4cf9b;59262;14663
3326f351-1576-4593-9998-ac2f24945e15;48510;18086
3ad85a29-28e2-43a3-b668-6753852e018a;56500;28343
4b33623f-b5df-4402-8de2-6ed0a1492e98;52302;16080
191017c3-4d9b-4be1-8282-daa7ec94f836;62923;19672
ea8cfc11-d2fe-4479-be04-2f6ec53cd563;63474;18528
3b69379d-24b9-43fa-8cda-433dec4df7df;45466;10635
3c9481ef-8945-42f2-b517-10517ad7ac82;65018;14935
c52e5099-2b6a-43cb-a4fe-c4a0ff1aee40;53728;17381
8e1c34ac-8da2-4b28-bffa-51833c22955e;41622;27453
2396e828-b02b-4f95-a76b-0ddca72045e3;37391;23082
6493fece-0546-49ad-a1f8-b384b30c9a43;51572;26620
9b2c00f7-30b9-4dc4-b740-480a969d3e17;60466;16057
61b67d96-825f-4577-a044-b20b8459d34c;60849;27833
079e357d-0d04-49fe-b0fc-c53ec47b4d38;38801;23295
687b670d-2e23-475f-afdc-4b0b97ae78b7;32387;27197
243e110a-ddfc-4c37-af99-29a0909ddf47;37270;14928
a7627c5c-4434-4d7c-a323-408d5bcc5ed1;42316;21587
a70bd95b-4471-4a31-a7f6-e6205e3dee7d;60755;18559
3aa43ab3-e3c6-4a52-9065-54edf1e10788;47727;19751
42e41b67-5c6f-4b34-85ff-450dea89c079;62511;28806
eb98d899-03e4-4b1b-af9f-1380369e29d6;65327;26327
6cc5bb6c-2238-4c10-8d9f-870a4577d93e;35036;16114
b71d4483-0b47-47b9-aba4-1e9ff6659f16;62011;27563
c4509fcd-c919-45b8-a28e-0a3121301e89;37489;21230
3d91f1ba-7014-4c31-9c57-7ff9ca9201f8;35086;26987
4bf95464-8fd8-4e55-a1e7-da865eed4479;33830;12474
1e598802-1c8d-4e34-b5be-2f37cd0232be;46548;10214
5f34c812-955e-4c2e-866b-e970e71a1b43;62449;21069
25c3eda6-289d-490b-9392-20eeab7d3437;37864;17897
11eef28d-3ed7-4b36-9385-ed4399db99aa;60672;24505
60bb4564-411d-422f-be68-19cb3460fb4d;55134;13170
55da8547-e91b-4691-8775-cf0b0cd14592;52038;19410
9c96e725-e8e9-4680-8146-6d2d775146b7;36238;10371
74f57a7f-2089-496e-b334-f00ab7d44485;51104;25199
68eea93d-66bd-4596-844c-72413bc1bb0c;38952;14250
d2eadc01-4765-46de-b8ca-d331b7697ab4;50845;13249
b2041906-f7a4-4428-93b2-48e6ef2a7157;62674;16922
f3087609-2aca-4224-82bf-829037e807ac;36178;16529
a3ef3c1c-3af1-4151-8198-f3b0b872e0bd;60453;28574
a84d7459-81dc-4832-b7a9-c359c2f73d6c;36868;16515
cecf6fbc-1987-47db-9db1-300f3859e03f;47658;24428
b79a8c30-6a6a-4db6-b1c4-6fab6a022aaa;51161;25950
14113779-f5bf-4ffa-b30e-d068f1d82ed2;51816;28571
255bd8db-8f2d-4d19-860e-82932c3c2475;48886;12658
3d023c1f-6abf-447b-9532-55f46bd41eae;56329;17959
cd729d77-dd44-4656-a6fe-df2e91346cba;38894;18871
352715e9-0c55-4bda-bdf1-14fff560be6a;64288;11006
7408b918-fdb9-4292-954d-440ca5d0e6de;33632;25705
bd8b2674-800e-4e01-b0dc-db8b500db853;66152;14938
cef9b6a2-3759-41c0-bff1-5f1cba98e454;41699;19315
f2e41309-bfa2-44ed-83e9-dc61b100692d;63213;19142
7f685ae2-977e-4afe-84c9-cb82ba62d266;46771;28298
7c401b10-c0e7-4092-a106-ed042abed64d;49561;13159
c095b2cc-4f15-4231-917c-0c8081defbdf;49627;15158
b12ca932-cb32-4a13-bd60-9fe83d80bddd;48944;11727
0a6d0a0c-9d07-42d6-9cf3-a26b6aa5bdf5;38269;22310
9f4c7b17-fc64-4325-94fa-12e8ee1fe025;41423;12082
c83be6ce-4358-4b1e-82db-46715185a421;47104;17196
a898b86b-923f-425b-bf5a-362361f5acc6;46319;13879
e77216d5-38b5-4bdf-99c7-090d3b01796a;62483;23228
4d5fe42e-be30-4d1c-9a6b-91c7a56bac88;46984;17514
7196caa9-9c85-40c8-b465-b2b05fc2cfc1;42737;23910
c51e9ea2-486c-4030-81f0-b3e62ac91d91;54922;25824
035f83f6-dfdb-4757-8845-0cfc967a3765;36304;13036
41b0e661-10d2-4b67-be48-f2dfc8f99634;30176;24013
160584e1-fd14-4daa-8f22-98e6351d40dd;42731;16842
9a153366-8176-4b71-b761-17cf4f1edc48;30749;19988
2a18288f-1c99-48f0-b007-8a071dc76498;58922;17338
01f07180-d0e1-41e9-8fcd-17e964ab239b;59720;21574
f48f42f6-35a5-49e7-aeb6-f42fedf019e2;50179;18650
0910cb66-cc4f-467b-8b3d-fbcbf179ddcc;34197;17247
ca32c29a-07f7-4ae9-9796-0c5899ea7215;67398;18522
94c59de8-0b62-4a15-90d9-3cfd22853546;39460;11466
563cbfe6-bdc4-4936-8544-e17e024dc39c;59353;13454
b499b401-bd1b-4fa1-99f4-92d0a2fa0770;38566;23841
37ee7003-0039-469a-a997-d5db0cf4fe64;48498;26237
b8851da6-eb01-48b6-809b-6e972f757c8f;40206;25086
d3914f98-f024-4b05-89a1-c2de5fc5a447;35633;24582
0c7d7d9a-480d-4c4e-bfbc-6de2f297622e;45388;18244
6c3e191a-21a4-4a9c-b92a-69952fea2e38;60182;14389
5557c9a0-3df7-472c-a0a8-66efc9df958a;43955;11465
078b8495-760f-4461-9375-256413ba8941;66109;19387
584df9cf-66dc-45b2-aea0-f50352691e8c;43389;15794
2c025a33-dc91-4ac1-8954-f9a73d2c34ca;56236;28763
9c8562fa-5b5f-4c0b-b804-fd069ae09031;48391;29929
c00079ef-6241-40e9-8cc8-8bb40b6ca423;50113;29850
6c2d125b-c6a6-4683-9047-41793784daa2;31336;16501
93c53c87-7260-4e69-9880-44b784d53deb;61741;11365
11697db2-8fd7-442c-b8a5-cd0c08e02e3d;55383;15373
13a3581b-02c6-4187-b7ac-f4f1eab40de6;50263;28397
2b56f080-9d67-4c4a-baf0-c036b0d307e0;68692;12121
7fd91873-abf3-454d-91ff-f5e24e972c1e;32958;12303
daeb479b-404a-4796-9085-945ea0798cf1;32696;12864
3b72e592-ea18-41d3-95b6-5701086f012f;59064;12717
5711948d-e74e-42ca-94cf-999c36ae51df;40794;13713
4d927c1a-ff43-4cf5-919a-c5fdfc1c4319;59321;22411
0942a8b6-a75f-4fbb-8d3f-186f5a77c61f;51270;22324
f72ca106-910a-4d47-bc12-a3559a27d923;42224;24769
b2ede239-8912-45f9-8474-7fae178989f0;48291;21424
0f777ba1-ba9a-498e-9dda-bcf6077468e2;34397;11508
5c4bcee6-c75b-48df-ac75-1759648d5e02;32181;11796
657b115a-0687-4119-8ad3-b35bb49f76b6;44133;15394
43091ea9-9b3c-481d-8418-efa0056b758b;30888;18309
7e5e81e5-9bff-44b5-9a19-5cf8a17f7d2e;42388;18675
b5beb6b1-07ee-412d-bc99-e973cab358b3;62173;10666
3e7d51e4-e01c-4b22-b5cc-5909fe741cdd;52857;23614
22e1d1f8-bf1d-4557-9f9c-d44dd4807906;37925;21543
4e21ff45-8c16-4773-b8b8-94a9b2af2100;66273;12628
4469f09b-4f15-42b4-a630-d95fc9690386;31726;21434
2cb26cf7-74f0-4cb6-bae5-ba69a3e264b8;49150;14588
4258f8f7-e442-48a5-a7ec-a25b522ed033;44115;10019
b49f912b-a771-42fb-a2f8-6753b6f73713;48752;21982
2b327b74-c551-47ff-80aa-983ec268858b;52810;17531
e1b4f76a-abee-4f0e-8985-0b0d532008ac;64468;13820
a1480404-224a-4110-8c25-13309d54955c;42260;21935
6cd5a53a-984c-4db5-a5cb-460dc76889e5;42969;17493
04a590d2-b0c9-4569-b78a-6af4e95b89db;31777;18098
aaa74f97-a10c-4d6b-9104-32d5248d7220;56787;26339
3a75305f-8eaf-4bb4-92c8-63d52ff897cc;38769;24067
9c34a87a-1a2e-4dad-a506-1ddfe28bdd89;47042;20991
0e771abb-f3fd-4993-b0c0-a85827a31141;58093;16050
2ac0fa66-8a0c-49ce-9dae-2745bd8e8c39;62597;12428
e31a6ca5-7258-4f89-948b-2e6edd29a693;45629;21725
711d470c-7334-4cef-aefc-f73f28d29c6d;36146;16729
2f30155d-fcc7-4c86-be69-17d59f0f96bd;58117;29385
225e36b4-de8a-4555-b375-276070b3108b;32779;29412
a01f3bc3-14b2-4873-92e2-09d3fe677f15;68370;28568
d960c926-0875-4e0a-a002-d5edae28aeb5;34038;11787
821bce38-7254-418e-8c95-6b999b54937b;38238;10493
24786488-ae8d-4533-a5e6-ad326c69188f;53978;18824
f3877607-1fa8-461a-8771-0b443330efd6;55632;10393
e03f0fc6-2ba0-40ca-9cfb-9cd7e495d857;66033;14530
33a4d04a-81f5-41d6-a47c-2ec292737e8d;55765;12761
4abb5068-f959-42a7-88be-fb0e0d371496;65691;13046
78c10f1b-34f9-40bb-a94c-af2c77aa8813;30010;14162
b7fcae4a-07cc-4dd2-983b-3ef7c0307069;68180;14609
ca4ea34f-f8a4-4fae-91ea-974811b223bd;42378;12904
1d50a0d4-8a91-449d-a7c3-a87f9a732930;50119;23437
471380c9-db5d-46bf-ae58-286afadf0bff;47246;20449
fa2c8e30-eaab-4f56-a234-1f703f8350a0;61766;14007
d7423296-58b8-4b8a-b26c-420b673f7489;66296;10251
92bc0fee-8904-49c3-a389-1d9423b5ccf2;61031;14952
40876202-dcd9-4dba-817e-03e41029babc;52374;29311
298c76ef-4e6e-4e35-9bc7-eb7c054bcba6;35558;29395
2370a27e-4f0b-4fee-8f01-42f73196e915;31622;13121
96877499-8454-472f-944d-adec104771a3;33335;29267
1119d032-81dd-426f-8431-80f4bc1ffb72;54720;15226
04d1ec59-d6d8-4b05-8b55-e548841b0e89;54515;29349
14cd7a1c-20c9-4144-b59c-8f5905e9e077;46640;19768
27c005ce-6857-4dc8-9851-874c5008cdbf;36939;20607
809d361f-8dad-4935-9526-7095d9655684;39717;22974
fd020794-afb0-4c39-89ce-5c3c626d11f6;59157;24984
dfab5d72-c931-4f1e-9b7b-4ba1dbe192ad;47755;15695
eb979b11-c67b-441d-b28d-8ce77472877a;39087;16686
92a16e97-1553-4c39-9aaa-b9e3b18ad2c7;41163;13123
4c2bb1f5-41eb-4b43-914e-9c18a7cd9307;68049;22120
e6fd0907-7b2b-41ce-9f04-1eb3d8cd39f3;38295;27584
5b9f0587-b3f6-40d3-b714-4f4381009f53;43581;25137
5e9c7e9f-2f03-40dd-aaef-e91a2fbff7d4;62626;22282
15cacf31-844a-4594-b971-e4b665fde5f3;57399;28768
d829e2db-9de5-4c35-8c6e-689131bd9f5d;56450;15300
23fe2068-eadc-42be-b536-f6f4612c666b;45684;23639
fe7b3869-1582-4d71-b715-d1bab0a68156;61314;23318
52c07820-f8bd-42d1-b448-07ea0349f885;51259;26361
6d06fbb8-f9a7-455f-8239-d73233b9fab0;42372;24736
6410169b-46d8-416b-8f8a-30a5eaec0e08;59286;28262
6055c11c-4547-4099-aa17-edfbecb0c89e;67313;17521
7741f915-538c-4054-b56e-7a8faf2b1b51;51150;17179
6c86f03d-2439-4583-a6db-e1e733758478;50857;19597
05ed70f7-7a1e-45d2-877e-03f86d44a334;51204;15673
d3e1cbae-5e87-4a40-8ce3-9047bba749be;55986;20079
dbed781e-a1ce-4d86-9ce3-db661ca26d64;49761;27776
042c17d2-acd7-4c6a-ac04-2915f2c6519d;37278;26350
25178a17-f4e2-4ab1-8166-3a5148a63dd7;58182;10024
4c485df3-c0a7-4bac-b153-e102603a4327;36712;17147
32fde744-f769-4101-9c02-bd81fc739aa0;65401;10495
3126cbac-c6b7-409f-a0b2-c8e9ff42ba09;59498;26771
355c2d6c-2d56-4ec5-9a6c-84428103ee92;52420;17102
2bccec1d-773e-408f-b538-b46b99cf3bd3;39421;24252
0301f3bd-2b1b-4e55-a3d3-a8179e60f40f;38533;28515
aa62b61a-053c-4e1f-8bc5-c58b999b307b;39976;12178
5dade7f6-c612-4d87-b88f-44771c1be922;60144;28081
1a50b017-bedc-4f19-8ef8-802fd9d3b00c;37961;27229
fd93f423-a6a3-4013-8c6e-c7b562f8b4b1;57057;11915
c624cf8b-fa98-4874-86b9-6564d5bf3869;65301;25260
5200d4ca-306b-405e-82ae-ac08a03985ee;58030;28922
0df9829c-0214-4e16-81b2-3dbe5990a2d4;69448;21493
133f3c66-dd2c-4820-b44c-a8c35e6b3e39;69308;20707
5f62a46c-4582-4936-a02e-c179a2da6b79;41101;18959
3fd58c40-3862-4ed2-91e4-4b6bcf5d34f5;63295;29667
bfaca90c-148d-4123-8dcf-d1646566dcc2;53967;16948
7bcd8ccd-6ce5-4def-bbd4-fc50f079efba;50462;15005
153f5c9a-ff4d-4688-8ef2-2a9e20021420;50234;14252
a409a8fc-a19f-4aad-afd4-3e788dc621b2;50661;27149
e5ce2b65-1ec9-4282-ab65-3bb69fcbf7f6;53161;28173
4806416d-a769-47e9-8dc4-a847fecb62cf;42740;27973
5587d5f6-5c4d-48e3-9e9f-c0f17fdd87a8;34909;13059
904c9bf2-3324-4492-9d15-90492386dd45;64739;27593
505225e7-ee12-4a50-867e-187bd2033c42;35803;28389
949297a3-f002-4550-8862-b021c743e4a9;52690;13891
5e8bc88e-7fdd-40b6-b29e-76bd7203ec7f;68513;19545
0bdf9f49-9ba3-4965-b584-f8d0a98d362c;55760;13916
